# inc   q0   q1   q2   q3
     0  8.75706299e-02  5.23320379e-01  6.64179599e-01  5.26623799e-01
    10  8.75976985e-02  5.26247582e-01  6.63763095e-01  5.24221976e-01
    20  8.73222219e-02  5.29513824e-01  6.63718353e-01  5.21025803e-01
    30  8.71153047e-02  5.32704026e-01  6.63689442e-01  5.17835561e-01
    40  8.69889083e-02  5.35783752e-01  6.63681049e-01  5.14680645e-01
    50  8.69408223e-02  5.38748071e-01  6.63720977e-01  5.11533259e-01
    60  8.69619271e-02  5.41618396e-01  6.63808996e-01  5.08374619e-01
    70  8.70435839e-02  5.44446464e-01  6.63915399e-01  5.05190859e-01
    80  8.71654986e-02  5.47275560e-01  6.64008128e-01  5.01980919e-01
    90  8.73130873e-02  5.50133693e-01  6.64048979e-01  4.98766778e-01
   100  8.74771358e-02  5.53038041e-01  6.64000687e-01  4.95580229e-01
   110  8.76475286e-02  5.55999339e-01  6.63839316e-01  4.92442899e-01
   120  8.78259726e-02  5.59012504e-01  6.63565956e-01  4.89358601e-01
