# inc  eps11 eps12 eps13 eps21 eps22 eps23 eps31 eps32 eps33 
increment_0  2.096735e-17 -3.661391e-18 -8.935493e-19 -3.661391e-18 -3.862210e-17 -9.851153e-18 -8.935493e-19 -9.851153e-18 -8.635333e-18
increment_10  2.167865e-04 -4.157811e-05  1.787729e-04 -4.157811e-05 -2.352499e-04 -2.809796e-05  1.787729e-04 -2.809796e-05  1.846343e-05
increment_20  5.206053e-04 -9.366679e-05  3.716995e-04 -9.366679e-05 -5.076518e-04 -2.370263e-05  3.716995e-04 -2.370263e-05 -1.295347e-05
increment_30  8.270731e-04 -1.498303e-04  5.633890e-04 -1.498303e-04 -7.837092e-04 -7.327251e-06  5.633890e-04 -7.327251e-06 -4.336397e-05
increment_40  1.135326e-03 -2.098766e-04  7.498773e-04 -2.098766e-04 -1.063451e-03  1.860993e-05  7.498773e-04  1.860993e-05 -7.187466e-05
increment_50  1.444823e-03 -2.725543e-04  9.299649e-04 -2.725543e-04 -1.346920e-03  5.314817e-05  9.299649e-04  5.314817e-05 -9.790332e-05
increment_60  1.755426e-03 -3.365333e-04  1.103234e-03 -3.365333e-04 -1.633896e-03  9.544418e-05  1.103234e-03  9.544418e-05 -1.215297e-04
increment_70  2.067306e-03 -3.997580e-04  1.269765e-03 -3.997580e-04 -1.923570e-03  1.454278e-04  1.269765e-03  1.454278e-04 -1.437362e-04
increment_80  2.381946e-03 -4.606936e-04  1.429955e-03 -4.606936e-04 -2.215330e-03  2.036828e-04  1.429955e-03  2.036828e-04 -1.666163e-04
increment_90  2.702174e-03 -5.193370e-04  1.584641e-03 -5.193370e-04 -2.508510e-03  2.715337e-04  1.584641e-03  2.715337e-04 -1.936645e-04
increment_100  3.030164e-03 -5.768839e-04  1.734411e-03 -5.768839e-04 -2.802060e-03  3.500598e-04  1.734411e-03  3.500598e-04 -2.281045e-04
increment_110  3.363715e-03 -6.348048e-04  1.878341e-03 -6.348048e-04 -3.093810e-03  4.386751e-04  1.878341e-03  4.386751e-04 -2.699046e-04
increment_120  3.701043e-03 -6.968019e-04  2.016708e-03 -6.968019e-04 -3.383691e-03  5.368145e-04  2.016708e-03  5.368145e-04 -3.173516e-04
