# inc   q0   q1   q2   q3
     0  2.66489599e-02  1.65685429e-01 -2.34103869e-01  9.57618687e-01
    10  2.26772036e-02  1.68528026e-01 -2.31202719e-01  9.57929722e-01
    20  1.82756770e-02  1.71741514e-01 -2.28126073e-01  9.58190663e-01
    30  1.39519361e-02  1.74955783e-01 -2.25133635e-01  9.58389620e-01
    40  9.73983259e-03  1.78111201e-01 -2.22218661e-01  9.58540767e-01
    50  5.65503162e-03  1.81184789e-01 -2.19376966e-01  9.58652095e-01
    60  1.70993470e-03  1.84186800e-01 -2.16603809e-01  9.58725763e-01
    70 -2.07842534e-03  1.87143613e-01 -2.13891185e-01  9.58761445e-01
    80 -5.69669575e-03  1.90060219e-01 -2.11236116e-01  9.58761683e-01
    90 -9.13814865e-03  1.92928893e-01 -2.08653303e-01  9.58727665e-01
   100 -1.24061305e-02  1.95763770e-01 -2.06168132e-01  9.58653919e-01
   110 -1.55045094e-02  1.98592110e-01 -2.03798791e-01  9.58533691e-01
   120 -1.84455225e-02  2.01421979e-01 -2.01554725e-01  9.58365610e-01
