# inc   q0   q1   q2   q3
     0  2.89284320e-01  4.59745201e-01  8.58573401e-02  8.35211021e-01
    10  2.87801262e-01  4.60656993e-01  8.48188183e-02  8.35327083e-01
    20  2.85871212e-01  4.61464546e-01  8.38023598e-02  8.35646628e-01
    30  2.83833271e-01  4.62250116e-01  8.28219862e-02  8.36004798e-01
    40  2.81689640e-01  4.63019179e-01  8.18553703e-02  8.36399357e-01
    50  2.79434108e-01  4.63764480e-01  8.08819695e-02  8.36837615e-01
    60  2.77055558e-01  4.64485246e-01  7.98828956e-02  8.37324547e-01
    70  2.74546032e-01  4.65173756e-01  7.88430089e-02  8.37867312e-01
    80  2.71904028e-01  4.65823320e-01  7.77509802e-02  8.38469808e-01
    90  2.69135130e-01  4.66435630e-01  7.66032663e-02  8.39128134e-01
   100  2.66251552e-01  4.67019985e-01  7.54054537e-02  8.39831211e-01
   110  2.63270861e-01  4.67588525e-01  7.41667290e-02  8.40564525e-01
   120  2.60217461e-01  4.68156644e-01  7.28965133e-02  8.41309888e-01
