# inc   q0   q1   q2   q3
     0  2.89284320e-01  4.59745201e-01  8.58573401e-02  8.35211021e-01
    10  2.89122655e-01  4.60009517e-01  8.52008130e-02  8.35188695e-01
    20  2.88859557e-01  4.60091449e-01  8.42016981e-02  8.35335914e-01
    30  2.88567195e-01  4.60054448e-01  8.32332030e-02  8.35554375e-01
    40  2.88260296e-01  4.59934785e-01  8.22931777e-02  8.35819256e-01
    50  2.87945098e-01  4.59740481e-01  8.13788847e-02  8.36124266e-01
    60  2.87634961e-01  4.59478757e-01  8.04820982e-02  8.36461615e-01
    70  2.87346346e-01  4.59161940e-01  7.95947149e-02  8.36819617e-01
    80  2.87088246e-01  4.58807588e-01  7.87060214e-02  8.37186537e-01
    90  2.86875532e-01  4.58437254e-01  7.78073888e-02  8.37546252e-01
   100  2.86723356e-01  4.58068453e-01  7.68963214e-02  8.37884220e-01
   110  2.86627318e-01  4.57700807e-01  7.59887589e-02  8.38200728e-01
   120  2.86577656e-01  4.57327288e-01  7.51051110e-02  8.38501176e-01
