# inc   q0   q1   q2   q3
     0  5.11128580e-01  4.27886600e-02  8.18142649e-01  2.59921740e-01
    10  5.08202511e-01  4.24489146e-02  8.19676726e-01  2.60879977e-01
    20  5.04988536e-01  4.20108212e-02  8.21418337e-01  2.61712790e-01
    30  5.01819221e-01  4.14229502e-02  8.23161306e-01  2.62425367e-01
    40  4.98723377e-01  4.07511122e-02  8.24854001e-01  2.63116357e-01
    50  4.95714982e-01  4.00358839e-02  8.26464223e-01  2.63857297e-01
    60  4.92803916e-01  3.93100596e-02  8.27967613e-01  2.64704839e-01
    70  4.89988411e-01  3.85933533e-02  8.29357370e-01  2.65684517e-01
    80  4.87259353e-01  3.78934800e-02  8.30637754e-01  2.66802041e-01
    90  4.84606874e-01  3.72093944e-02  8.31816478e-01  2.68054072e-01
   100  4.82017946e-01  3.65322667e-02  8.32909813e-01  2.69416659e-01
   110  4.79480255e-01  3.58442823e-02  8.33943089e-01  2.70837215e-01
   120  4.76982756e-01  3.51325711e-02  8.34939500e-01  2.72266753e-01
