# inc   q0   q1   q2   q3
     0  1.42177000e-03 -5.70821200e-01 -5.39467760e-01 -6.18979540e-01
    10  1.23464940e-04 -5.72706596e-01 -5.40055114e-01 -6.16723288e-01
    20 -1.53392506e-03 -5.74490768e-01 -5.40671682e-01 -6.14517808e-01
    30 -3.20102515e-03 -5.76347486e-01 -5.41310834e-01 -6.12205774e-01
    40 -4.86860275e-03 -5.78268250e-01 -5.41972453e-01 -6.09793398e-01
    50 -6.53296477e-03 -5.80263165e-01 -5.42653863e-01 -6.07271574e-01
    60 -8.19791819e-03 -5.82347713e-01 -5.43349013e-01 -6.04628634e-01
    70 -9.86982908e-03 -5.84518752e-01 -5.44051772e-01 -6.01870488e-01
    80 -1.15502901e-02 -5.86756559e-01 -5.44767505e-01 -5.99008929e-01
    90 -1.32238981e-02 -5.89033979e-01 -5.45495507e-01 -5.96069419e-01
   100 -1.48817409e-02 -5.91329278e-01 -5.46230289e-01 -5.93077305e-01
   110 -1.65234541e-02 -5.93611887e-01 -5.46982601e-01 -5.90052487e-01
   120 -1.81582954e-02 -5.95844822e-01 -5.47764012e-01 -5.87021134e-01
